from_station_code,Train_name,zone,chair_car,second_ac,first_ac,first_class,third_ac,sleeper,total no of classes ,from_station_name,number,arrival,departure,return_train,to_station_code,to_station_name,duration_m,duration_h,type,distance
,,,,,,,,,,,,,,,,,,,,
GHY,GUWAHATI - KOLKATA Garib Rath Exp,NER,0,0,0,0,1,0,,GUWAHATI,12518,15:00:00,21:00:00,12517,KOAA,KOLKATA CHITPUR,0,18,GR,1027
,,,,,,,,,,,,,,,,,,,,
BJU,Raptisagar Express,ECR,0,1,1,0,1,1,,BARAUNI JN,12521,13:20:00,23:00:00,12522,ERS,ERNAKULAM JN,20,62,SF,3441
,,,,,,,,,,,,,,,,,,,,
NJP,New Jalpaiguri-New Delhi Superfast Express,NFR,0,1,0,0,1,1,,NEW JALPAIGURI,12523,12:10:00,08:15:00,12524,NDLS,NEW DELHI,55,27,SF,1500
,,,,,,,,,,,,,,,,,,,,
NDLS,New Delhi New Jalpaiguri SuperFast Express,NFR,0,1,0,0,1,1,,NEW DELHI,12524,18:35:00,15:10:00,12523,NJP,NEW JALPAIGURI,25,27,SF,1497
,,,,,,,,,,,,,,,,,,,,
CSTM,Indrayani SF Express,CR,1,0,0,0,0,0,,MUMBAI CST,12525,09:08:00,05:40:00,12526,PUNE,PUNE JN,28,3,SF,192
,,,,,,,,,,,,,,,,,,,,
PUNE,Indrayani SF Express,CR,1,0,0,0,0,0,,PUNE JN,12526,21:55:00,18:35:00,12525,CSTM,MUMBAI CST,20,3,SF,192
,,,,,,,,,,,,,,,,,,,,
HBJ,Bhopal-Jabalpur Intercity Express,WCR,1,0,0,0,0,0,,HABIBGANJ,12529,10:50:00,05:30:00,12530,JBP,JABALPUR,20,5,SF,331
,,,,,,,,,,,,,,,,,,,,
JBP,Jabalpur-Bhopal Intercity,WCR,1,0,0,0,0,0,,JABALPUR,12530,22:05:00,16:10:00,12529,HBJ,HABIBGANJ,55,5,SF,331
,,,,,,,,,,,,,,,,,,,,
GKP,Gorakhpur Lucknow InterCity Express,NER,1,0,0,0,0,0,,GORAKHPUR JN,12531,11:00:00,06:05:00,12532,LJN,LUCKNOW JN,55,4,SF,279
,,,,,,,,,,,,,,,,,,,,
LJN,Lucknow Gorakhpur Inter City Express,NER,1,0,0,0,0,0,,LUCKNOW JN,12532,21:30:00,16:35:00,12531,GKP,GORAKHPUR JN,55,4,SF,279
,,,,,,,,,,,,,,,,,,,,
LJN,Pushpak Express,NER,0,1,1,0,1,1,,LUCKNOW JN,12533,20:05:00,19:45:00,12534,CSTM,MUMBAI CST,20,24,SF,1426
,,,,,,,,,,,,,,,,,,,,
CSTM,Pushpak Express,NER,0,1,1,0,1,1,,MUMBAI CST,12534,08:40:00,08:20:00,12533,LJN,LUCKNOW JN,20,24,SF,1426
,,,,,,,,,,,,,,,,,,,,
RXL,RAXAUL - MUMBAI LTT Karmabhoomi Exp,ECR,0,0,0,0,0,0,,RAXAUL JN,12545,06:15:00,20:35:00,12546,LTT,LOKMANYA TILAK TERM,40,33,SF,1963
,,,,,,,,,,,,,,,,,,,,
AF,Agra Fort Ahmedabad Tri Weekly Express,NER,0,1,0,0,1,1,,AGRA FORT,12547,13:35:00,22:25:00,12548,ADI,AHMEDABAD JN,10,15,SF,867
,,,,,,,,,,,,,,,,,,,,
ADI,Ahmedabad-Agra Fort Express,NER,0,1,0,0,1,1,,AHMEDABAD JN,12548,08:10:00,16:55:00,12547,AF,AGRA FORT,15,15,SF,867
,,,,,,,,,,,,,,,,,,,,
NDLS,Vaishali SF Express,ECR,0,1,1,0,1,1,,NEW DELHI,12554,17:15:00,19:50:00,12553,BJU,BARAUNI JN,25,21,SF,1185
,,,,,,,,,,,,,,,,,,,,
MFP,Sapt Kranti SF Express,ECR,0,1,1,0,1,1,,MUZAFFARPUR JN,12557,04:05:00,09:10:00,12558,ANVT,ANAND VIHAR TRM,55,18,SF,1060
,,,,,,,,,,,,,,,,,,,,
ANVT,Sapt Kranti SF Express,ECR,0,1,1,0,1,1,,ANAND VIHAR TRM,12558,10:25:00,14:50:00,12557,MFP,MUZAFFARPUR JN,35,19,SF,1060
,,,,,,,,,,,,,,,,,,,,
JYG,Jaynagar-Delhi AnandViharT Garib Rath,ECR,0,0,0,0,1,0,,JAYNAGAR,12569,08:25:00,12:10:00,12570,ANVT,ANAND VIHAR TRM,15,20,GR,1252
,,,,,,,,,,,,,,,,,,,,
ANVT,Anand Vihar Terminus-Jaynagar Garib Rath Express,ECR,0,0,0,0,1,0,,ANAND VIHAR TRM,12570,13:30:00,17:00:00,12569,JYG,JAYNAGAR,30,20,GR,1252
,,,,,,,,,,,,,,,,,,,,
HWH,Howrah Prasanti Nilayam SF Express,NFR,0,1,0,0,1,1,,HOWRAH JN,12571,22:25:00,15:50:00,12572,SSPN,SATYA SAI P NILAYAM,35,30,SF,1763
,,,,,,,,,,,,,,,,,,,,
SSPN,Prashanti Nilayam Howrah SF Express,NFR,0,1,0,0,1,1,,SATYA SAI P NILAYAM,12572,14:50:00,07:50:00,12571,HWH,HOWRAH JN,0,31,SF,1763
,,,,,,,,,,,,,,,,,,,,
SNSI,SainagarShirdi-Howrah Express,SER,0,1,0,0,1,1,,SAINAGAR SHIRDI,12573,19:30:00,13:55:00,12574,HWH,HOWRAH JN,35,29,SF,1792
,,,,,,,,,,,,,,,,,,,,
DBG,DARBHANGA - MYSORE BAGMATI SF Exp,ECR,0,1,0,0,1,1,,DARBHANGA JN,12577,20:55:00,16:15:00,12578,MYS,MYSORE JN,40,52,SF,2910
,,,,,,,,,,,,,,,,,,,,
MYS,MYSORE - DARBHANGA BAGMATI SF Exp,ECR,0,1,0,0,1,1,,MYSORE JN,12578,14:15:00,10:10:00,12577,DBG,DARBHANGA JN,5,52,SF,2910
,,,,,,,,,,,,,,,,,,,,
DGHA,Digha- Puri SamudraKanya Express,NFR,0,1,0,0,1,1,,Digha Flag Station,12579,03:20:00,17:15:00,12580,PURI,PURI,5,10,SF,549
,,,,,,,,,,,,,,,,,,,,
PUNE,Pune Bhubaneshwar Express,ECoR,0,1,0,0,1,1,,PUNE JN,12581,17:35:00,11:15:00,12582,BBS,BHUBANESWAR,20,30,SF,1689
,,,,,,,,,,,,,,,,,,,,
BBS,Bhubaneshwar-Pune Express,ECoR,0,1,0,0,1,1,,BHUBANESWAR,12582,05:00:00,22:15:00,12581,PUNE,PUNE JN,45,30,SF,1689
,,,,,,,,,,,,,,,,,,,,
LJN,LUCKNOW - DELHI ANAND VIHAR T DOUBLE DECKER,NFR,0,1,0,0,1,1,,LUCKNOW JN,12583,10:15:00,19:40:00,12584,ANVT,ANAND VIHAR TRM,35,38,SF,2071
,,,,,,,,,,,,,,,,,,,,
ANVT,DELHI ANAND VIHAR T - LUCKNOW DOUBLE DECKER,NFR,0,1,0,0,1,1,,ANAND VIHAR TRM,12584,19:50:00,05:25:00,12583,LJN,LUCKNOW JN,25,38,SF,2071
,,,,,,,,,,,,,,,,,,,,
YPR,YESVANTPUR - GORAKHPUR SF Exp,NFR,0,1,0,0,1,1,,YESVANTPUR JN,12592,15:10:00,16:50:00,12591,GKP,GORAKHPUR JN,20,46,SF,2529
,,,,,,,,,,,,,,,,,,,,
LJN,Lucknow-Bhopal Garib Rath,NER,0,0,0,0,1,0,,LUCKNOW JN,12593,09:35:00,22:45:00,12594,BPL,BHOPAL JN,50,10,GR,585
,,,,,,,,,,,,,,,,,,,,
BPL,Bhopal-Lucknow Garib Rath Express,NER,0,0,0,0,1,0,,BHOPAL JN,12594,09:45:00,22:45:00,12593,LJN,LUCKNOW JN,0,11,GR,585
,,,,,,,,,,,,,,,,,,,,
MS,Pallavan Superfast Express,SR,1,0,0,0,0,0,,CHENNAI EGMORE,12605,21:20:00,15:45:00,12606,TPJ,TIRUCHIRAPPALLI,35,5,SF,336
,,,,,,,,,,,,,,,,,,,,
TPJ,Pallavan Superfast Express,SR,1,0,0,0,0,0,,TIRUCHIRAPPALLI,12606,12:05:00,06:30:00,12605,MS,CHENNAI EGMORE,35,5,SF,336
,,,,,,,,,,,,,,,,,,,,
MAS,CHENNAI CENTRAL - BANGALORE Lalbagh Exp,SWR,1,0,0,0,0,0,,CHENNAI CENTRAL,12607,21:35:00,15:35:00,12608,SBC,BANGALORE CITY JN,0,6,SF,358
,,,,,,,,,,,,,,,,,,,,
SBC,BANGALORE - CHENNAI CENTRAL Lalbagh Exp,SWR,1,0,0,0,0,0,,BANGALORE CITY JN,12608,12:15:00,06:30:00,12607,MAS,CHENNAI CENTRAL,45,5,SF,362
,,,,,,,,,,,,,,,,,,,,
MAS,CHENNAI CENT - BANGALORE SF Intercity Exp,SWR,1,0,0,0,0,0,,CHENNAI CENTRAL,12609,20:05:00,13:35:00,12610,SBC,BANGALORE CITY JN,30,6,SF,362
,,,,,,,,,,,,,,,,,,,,
MSB,Chennai Beach Tambaram EMU(12 Car),SR,0,0,0,0,0,0,,CHENNAI BEACH,40009,08:17:00,07:22:00,,TBM,TAMBARAM,55,0,MEMU,33
,,,,,,,,,,,,,,,,,,,,
HSR,Gorakhdham Express,NER,0,1,1,0,1,1,,Hisar,12556,10:00:00,16:35:00,12555,GKP,GORAKHPUR JN,25,17,SF,962
,,,,,,,,,,,,,,,,,,,,
BSB,Shiv Ganga Express,NER,0,1,1,0,1,1,,VARANASI JN,12559,07:40:00,19:15:00,12560,NDLS,NEW DELHI,25,12,SF,758
,,,,,,,,,,,,,,,,,,,,
NDLS,Shiv Ganga Express,NER,0,1,1,0,1,1,,NEW DELHI,12560,07:30:00,18:45:00,12559,BSB,VARANASI JN,45,12,SF,758
,,,,,,,,,,,,,,,,,,,,
NDLS,Swatantrata Sainani Express,ECR,0,1,1,0,1,1,,NEW DELHI,12562,18:05:00,20:40:00,12561,DBG,DARBHANGA JN,25,21,SF,1166
,,,,,,,,,,,,,,,,,,,,
LTT,Mumbai LTT - Faizabad SF Express,NER,0,1,1,0,1,1,,LOKMANYA TILAK TERM,12563,17:40:00,14:30:00,12564,FD,FAIZABAD JN,10,27,SF,1600
,,,,,,,,,,,,,,,,,,,,
FD,Faizabad-Mumbai LTT SF Express,CR,0,1,1,0,1,1,,FAIZABAD JN,12564,05:00:00,23:55:00,12563,LTT,LOKMANYA TILAK TERM,5,29,SF,1600
,,,,,,,,,,,,,,,,,,,,
DBG,Bihar Sampark Kranti Express,ECR,0,1,1,0,1,1,,DARBHANGA JN,12565,05:30:00,08:35:00,12566,NDLS,NEW DELHI,55,20,SKr,1172
,,,,,,,,,,,,,,,,,,,,
NDLS,Bihar Sampark Kranti Express,ECR,0,1,1,0,1,1,,NEW DELHI,12566,11:25:00,14:30:00,12565,DBG,DARBHANGA JN,55,20,SKr,1172
,,,,,,,,,,,,,,,,,,,,
KGP,Kharagpur Purulia Express,NFR,1,0,0,0,0,0,,KHARAGPUR JN,12575,11:25:00,07:25:00,12576,PRR,PURULIA JN,0,4,SF,208
,,,,,,,,,,,,,,,,,,,,
PRR,Purulia Khargapur Intercity Express,NFR,1,0,0,0,0,0,,PURULIA JN,12576,15:50:00,11:55:00,12575,KGP,KHARAGPUR JN,55,3,SF,208
,,,,,,,,,,,,,,,,,,,,
GKP,Amarnath Express,NFR,0,1,0,0,1,1,,GORAKHPUR JN,12587,12:20:00,14:05:00,12588,JAT,JAMMU TAWI,15,22,SF,1248
,,,,,,,,,,,,,,,,,,,,
JAT,Amarnath Express,NFR,0,1,0,0,1,1,,JAMMU TAWI,12588,20:50:00,22:45:00,12587,GKP,GORAKHPUR JN,5,22,SF,1248
,,,,,,,,,,,,,,,,,,,,
GKP,Gorakhpur-Secunderabad Express,NFR,0,1,0,0,1,1,,GORAKHPUR JN,12589,15:10:00,06:45:00,12590,SC,SECUNDERABAD JN,25,32,SF,1827
,,,,,,,,,,,,,,,,,,,,
SC,Secunderabad - Gorakhpur Express,NFR,0,1,0,0,1,1,,SECUNDERABAD JN,12590,15:10:00,07:20:00,12589,GKP,GORAKHPUR JN,50,31,SF,1827
,,,,,,,,,,,,,,,,,,,,
MAS,Chennai Mangalore Mail,SR,0,1,0,1,1,1,,CHENNAI CENTRAL,12601,12:25:00,20:25:00,12602,MAQ,MANGALORE CNTL,0,16,SF,889
,,,,,,,,,,,,,,,,,,,,
MAQ,Chennai Mail,SR,0,1,0,1,1,1,,MANGALORE CNTL,12602,05:25:00,13:15:00,12601,MAS,CHENNAI CENTRAL,10,16,SF,889
,,,,,,,,,,,,,,,,,,,,
MAS,Chennai - Hyderabad Express,SR,0,1,1,0,1,1,,CHENNAI CENTRAL,12603,05:45:00,16:45:00,12604,HYB,HYDERABAD DECCAN,0,13,SF,715
,,,,,,,,,,,,,,,,,,,,
HYB,Hyderabad - Chennai Express,SR,0,1,1,0,1,1,,HYDERABAD DECCAN,12604,05:55:00,16:55:00,12603,MAS,CHENNAI CENTRAL,0,13,SF,715
,,,,,,,,,,,,,,,,,,,,
MAS,Chennai Central-H.Nizamuddin Garib Rath Express,SR,0,0,0,0,1,0,,CHENNAI CENTRAL,12611,10:20:00,06:10:00,12612,NZM,DELHI H NIZAMUDDIN,10,28,GR,2177
,,,,,,,,,,,,,,,,,,,,
NZM,H Nizamuddin-Chennai Garib Rath Express,SR,0,0,0,0,1,0,,DELHI H NIZAMUDDIN,12612,20:15:00,16:00:00,12611,MAS,CHENNAI CENTRAL,15,28,GR,2176
,,,,,,,,,,,,,,,,,,,,
MYS,Tippu Express,SWR,1,0,0,0,0,0,,MYSORE JN,12613,13:30:00,11:00:00,12614,SBC,BANGALORE CITY JN,30,2,SF,139
,,,,,,,,,,,,,,,,,,,,
SBC,Tippu Express,SWR,1,0,0,0,0,0,,BANGALORE CITY JN,12614,17:30:00,15:00:00,12613,MYS,MYSORE JN,30,2,SF,139
,,,,,,,,,,,,,,,,,,,,
NDLS,GrandTrunk Express,SR,0,1,1,0,1,1,,NEW DELHI,12616,06:15:00,18:40:00,12615,MAS,CHENNAI CENTRAL,35,35,SF,2184
,,,,,,,,,,,,,,,,,,,,
MAQ,MANGALORE CENT - MUMBAI LTT Matsyagandha Exp,SR,0,1,0,0,1,1,,MANGALORE CNTL,12620,06:35:00,14:40:00,12619,LTT,LOKMANYA TILAK TERM,55,15,SF,1186
,,,,,,,,,,,,,,,,,,,,
NDLS,Tamil Nadu Express,SR,0,1,1,0,1,1,,NEW DELHI,12622,07:15:00,22:30:00,12621,MAS,CHENNAI CENTRAL,45,32,SF,2184
,,,,,,,,,,,,,,,,,,,,
MAS,Chennai Tiruvananthapuram SF Mail,SR,0,1,1,0,1,1,,CHENNAI CENTRAL,12623,11:25:00,19:45:00,12624,TVC,TRIVANDRUM CENTRAL,40,15,SF,909
,,,,,,,,,,,,,,,,,,,,
TVC,Kerala Express,SR,0,1,0,0,1,1,,TRIVANDRUM CENTRAL,12625,13:40:00,11:15:00,12626,NDLS,NEW DELHI,25,50,SF,3036
,,,,,,,,,,,,,,,,,,,,
NDLS,Kerala Express,SR,0,1,0,0,1,1,,NEW DELHI,12626,14:35:00,11:30:00,12625,TVC,TRIVANDRUM CENTRAL,5,51,SF,3036
,,,,,,,,,,,,,,,,,,,,
NDLS,Karnataka Express,SWR,0,1,1,0,1,1,,NEW DELHI,12628,13:40:00,21:15:00,12627,SBC,BANGALORE CITY JN,25,40,SF,2406
,,,,,,,,,,,,,,,,,,,,
YPR,Karnataka Sampark Kranti Express,SWR,0,1,1,0,1,1,,YESVANTPUR JN,12629,09:15:00,12:50:00,12630,NZM,DELHI H NIZAMUDDIN,25,44,SKr,2610
,,,,,,,,,,,,,,,,,,,,
NZM,Karnataka Sampark Kranti Express,SWR,0,1,1,0,1,1,,DELHI H NIZAMUDDIN,12630,06:40:00,08:55:00,12629,YPR,YESVANTPUR JN,45,45,SKr,2610
,,,,,,,,,,,,,,,,,,,,
MS,CHENNAI EGMORE - MADURAI Vaigai SF Exp,SR,1,0,0,0,0,0,,CHENNAI EGMORE,12635,20:50:00,12:45:00,12636,MDU,MADURAI JN,5,8,SF,497
,,,,,,,,,,,,,,,,,,,,
MS,CHENNAI EGMORE - MADURAI Pandiyan SF Exp,SR,0,1,1,1,1,1,,CHENNAI EGMORE,12637,06:15:00,21:15:00,12638,MDU,MADURAI JN,0,9,SF,497
,,,,,,,,,,,,,,,,,,,,
MDU,MADURAI - CHENNAI EGMORE Pandiyan SF Exp,SR,0,1,1,1,1,1,,MADURAI JN,12638,05:35:00,20:35:00,12637,MS,CHENNAI EGMORE,0,9,SF,497
,,,,,,,,,,,,,,,,,,,,
SBC,BANGALORE - CHENNAI CENT Brindavan Exp,SR,1,0,0,0,0,0,,BANGALORE CITY JN,12640,20:25:00,14:30:00,12639,MAS,CHENNAI CENTRAL,55,5,SF,362
,,,,,,,,,,,,,,,,,,,,
TVC,Swarna Jayanthi Express,SR,0,0,0,0,1,1,,TRIVANDRUM CENTRAL,12643,17:05:00,14:20:00,12644,NZM,DELHI H NIZAMUDDIN,45,50,SF,3014
,,,,,,,,,,,,,,,,,,,,
NZM,Swarna Jayanti Express,SR,0,0,0,0,1,1,,DELHI H NIZAMUDDIN,12644,11:10:00,06:00:00,12643,TVC,TRIVANDRUM CENTRAL,10,53,SF,3014
,,,,,,,,,,,,,,,,,,,,
YPR,Karnataka Sampark Kranti Express,SWR,0,1,1,0,1,1,,YESVANTPUR JN,12649,09:15:00,22:10:00,12650,NZM,DELHI H NIZAMUDDIN,5,35,SKr,2277
,,,,,,,,,,,,,,,,,,,,
NZM,Karnataka Sampark Kranti Express,SWR,0,1,1,0,1,1,,DELHI H NIZAMUDDIN,12650,19:00:00,06:45:00,12649,YPR,YESVANTPUR JN,15,36,SKr,2276
,,,,,,,,,,,,,,,,,,,,
MDU,MADURAI - DELHI H NIZAMUDDIN Tamil Nadu S Kranti,SR,0,1,1,0,1,1,,MADURAI JN,12651,18:00:00,23:55:00,12652,NZM,DELHI H NIZAMUDDIN,5,42,SKr,2677
,,,,,,,,,,,,,,,,,,,,
MAQ,Mangalore Tiruchirappalli Weekly Superfast Express,SR,0,1,0,0,1,1,,MANGALORE CNTL,12654,08:15:00,20:45:00,12653,TPJ,TIRUCHIRAPPALLI,30,11,SF,635
,,,,,,,,,,,,,,,,,,,,
MAS,CHENNAI - BANGALORE Mail,SWR,0,1,1,0,1,1,,CHENNAI CENTRAL,12657,05:10:00,23:15:00,12658,SBC,BANGALORE CITY JN,55,5,SF,362
,,,,,,,,,,,,,,,,,,,,
SBC,BANGALORE - CHENNAI Mail,SWR,0,1,1,0,1,1,,BANGALORE CITY JN,12658,04:40:00,22:45:00,12657,MAS,CHENNAI CENTRAL,55,5,SF,362
,,,,,,,,,,,,,,,,,,,,
SCT,SENGOTTAI - CHENNAI EGMORE Pothigai SF Exp,SR,0,1,0,0,1,1,,SENGOTTAI,12662,07:05:00,19:00:00,12661,MS,CHENNAI EGMORE,5,12,SF,670
,,,,,,,,,,,,,,,,,,,,
TPJ,Tiruchirappalli-Howrah Express,SR,0,1,0,0,1,1,,TIRUCHIRAPPALLI,12664,03:20:00,16:00:00,12663,HWH,HOWRAH JN,20,35,SF,2025
,,,,,,,,,,,,,,,,,,,,
GHY,Jorhat Town InterCity Express,NFR,0,0,0,0,1,1,,GUWAHATI,15605,09:30:00,22:30:00,15606,MXN,MARIANI JN,0,11,Exp,405
,,,,,,,,,,,,,,,,,,,,
MSB,Chennai Beach Tambaram EMU(12 Car),SR,0,0,0,0,0,0,,CHENNAI BEACH,40011,08:25:00,07:30:00,,TBM,TAMBARAM,55,0,MEMU,33
,,,,,,,,,,,,,,,,,,,,
ERS,ERNAKULAM - NEW DELHI H NIZAMUDDIN Mangala Lakshadweep Exp,SR,0,1,0,0,1,1,,ERNAKULAM JN,12617,13:10:00,13:10:00,12618,NZM,DELHI H NIZAMUDDIN,0,48,SF,3067
,,,,,,,,,,,,,,,,,,,,
NZM,NEW DELHI H NIZAMUDDIN - ERNAKULAM Mangala Lakshadweep Exp,SR,0,1,0,0,1,1,,DELHI H NIZAMUDDIN,12618,10:00:00,09:20:00,12617,ERS,ERNAKULAM JN,40,48,SF,3067
,,,,,,,,,,,,,,,,,,,,
MAS,Tamil Nadu Express,SR,0,1,1,0,1,1,,CHENNAI CENTRAL,12621,07:00:00,22:00:00,12622,NDLS,NEW DELHI,0,33,SF,2184
,,,,,,,,,,,,,,,,,,,,
SBC,Karnataka Express,SWR,0,1,1,0,1,1,,BANGALORE CITY JN,12627,10:35:00,19:20:00,12628,NDLS,NEW DELHI,15,39,SF,2406
,,,,,,,,,,,,,,,,,,,,
MS,CHENNAI EGMORE - TIRUNELVELI Nellai SF Exp,SR,0,1,0,1,1,1,,CHENNAI EGMORE,12631,08:30:00,20:50:00,12632,TEN,TIRUNELVELI,40,11,SF,653
,,,,,,,,,,,,,,,,,,,,
TEN,TIRUNELVELI - CHENNAI EGMORE Nellai SF Exp,SR,0,1,0,1,1,1,,TIRUNELVELI,12632,06:40:00,18:50:00,12631,MS,CHENNAI EGMORE,50,11,SF,653
,,,,,,,,,,,,,,,,,,,,
CAPE,KANNIYAKUMARI - CHENNAI EGMORE SF Exp,SR,0,1,1,0,1,1,,KANYAKUMARI,12634,06:50:00,17:20:00,12633,MS,CHENNAI EGMORE,30,13,SF,742
,,,,,,,,,,,,,,,,,,,,
MAS,CHENNAI CENT - BANGALORE Brindavan Exp,SR,1,0,0,0,0,0,,CHENNAI CENTRAL,12639,13:20:00,07:15:00,12640,SBC,BANGALORE CITY JN,5,6,SF,362
,,,,,,,,,,,,,,,,,,,,
NZM,D H NIZAMUDDIN - KANYAKUMARI Thirukkural Exp,SR,0,1,0,0,1,1,,DELHI H NIZAMUDDIN,12642,08:45:00,06:00:00,12641,CAPE,KANYAKUMARI,45,50,SF,2919
,,,,,,,,,,,,,,,,,,,,
ERS,Millennium Expres,SR,0,1,0,0,1,1,,ERNAKULAM JN,12645,17:05:00,18:55:00,12646,NZM,DELHI H NIZAMUDDIN,10,46,SF,2809
,,,,,,,,,,,,,,,,,,,,
NZM,Millennium Express,SR,0,1,0,0,1,1,,DELHI H NIZAMUDDIN,12646,06:00:00,06:00:00,12645,ERS,ERNAKULAM JN,0,48,SF,2809
,,,,,,,,,,,,,,,,,,,,
CBE,Kongu Express,SR,0,1,0,0,1,1,,COIMBATORE JN,12647,14:15:00,15:15:00,12648,NZM,DELHI H NIZAMUDDIN,0,47,SF,2671
,,,,,,,,,,,,,,,,,,,,
NZM,Kongu Express,SR,0,1,0,0,1,1,,DELHI H NIZAMUDDIN,12648,09:30:00,08:40:00,12647,CBE,COIMBATORE JN,50,48,SF,2671
,,,,,,,,,,,,,,,,,,,,
ADI,Navjeevan Express,SR,0,1,1,0,1,1,,AHMEDABAD JN,12655,16:05:00,06:30:00,12656,MAS,CHENNAI CENTRAL,35,33,SF,1893
,,,,,,,,,,,,,,,,,,,,
MAS,Navajivan Express,SR,0,1,1,0,1,1,,CHENNAI CENTRAL,12656,19:10:00,09:35:00,12655,ADI,AHMEDABAD JN,35,33,SF,1893
,,,,,,,,,,,,,,,,,,,,
NCJ,Gurudev Express,SR,0,1,0,0,1,1,,NAGERCOIL JN,12659,13:50:00,14:35:00,12660,SHM,KOLKATA SHALIMAR,15,47,SF,2583
,,,,,,,,,,,,,,,,,,,,
SHM,Shalimar-Nagercoil Gurudev Express,SR,0,1,0,0,1,1,,KOLKATA SHALIMAR,12660,22:00:00,23:00:00,12659,NCJ,NAGERCOIL JN,0,47,SF,2583
,,,,,,,,,,,,,,,,,,,,
MS,CHENNAI EGMORE - NAGERCOIL SF Exp,SR,0,1,0,0,1,1,,CHENNAI EGMORE,12667,08:10:00,18:50:00,12668,NCJ,NAGERCOIL JN,20,13,SF,727
,,,,,,,,,,,,,,,,,,,,
NCJ,NAGERCOIL - CHENNAI EGMORE SF Exp,SR,0,1,0,0,1,1,,NAGERCOIL JN,12668,06:00:00,17:05:00,12667,MS,CHENNAI EGMORE,55,12,SF,727
,,,,,,,,,,,,,,,,,,,,
MAS,Cheran Express,SR,0,1,1,0,1,1,,CHENNAI CENTRAL,12673,06:10:00,22:10:00,12674,CBE,COIMBATORE JN,0,8,SF,497
,,,,,,,,,,,,,,,,,,,,
CBE,Cheran Express,SR,0,1,1,0,1,1,,COIMBATORE JN,12674,06:35:00,22:20:00,12673,MAS,CHENNAI CENTRAL,15,8,SF,497
,,,,,,,,,,,,,,,,,,,,
MAS,Kovai Express,SR,1,0,0,0,0,0,,CHENNAI CENTRAL,12675,13:55:00,06:15:00,12676,CBE,COIMBATORE JN,40,7,SF,497
,,,,,,,,,,,,,,,,,,,,
CBE,Kovai Express,SR,1,0,0,0,0,0,,COIMBATORE JN,12676,21:40:00,14:20:00,12675,MAS,CHENNAI CENTRAL,20,7,SF,497
,,,,,,,,,,,,,,,,,,,,
SBC,Bangalore City - Ernakulam Intercity SF Express,SR,1,0,0,0,0,0,,BANGALORE CITY JN,12677,16:55:00,06:15:00,12678,ERS,ERNAKULAM JN,40,10,SF,587
,,,,,,,,,,,,,,,,,,,,
ERS,Ernakulam-BangaloreCity Intercity Express,SR,1,0,0,0,0,0,,ERNAKULAM JN,12678,19:50:00,09:10:00,12677,SBC,BANGALORE CITY JN,40,10,SF,587
,,,,,,,,,,,,,,,,,,,,
MAS,ChennaiCentral-Coimbatore InterCity,SR,1,0,0,0,0,0,,CHENNAI CENTRAL,12679,22:15:00,14:30:00,12680,CBE,COIMBATORE JN,45,7,SF,497
,,,,,,,,,,,,,,,,,,,,
CBE,Coimbatore-Chennai Central InterCity SF Express,SR,1,0,0,0,0,0,,COIMBATORE JN,12680,13:50:00,06:15:00,12679,MAS,CHENNAI CENTRAL,35,7,SF,497
,,,,,,,,,,,,,,,,,,,,
MAS,Chennai-Coimbatore Express,SR,0,1,0,0,1,1,,CHENNAI CENTRAL,12681,06:50:00,22:30:00,12682,CBE,COIMBATORE JN,20,8,SF,497
,,,,,,,,,,,,,,,,,,,,
CBE,Coimbatore-Chennai Express,SR,0,1,0,0,1,1,,COIMBATORE JN,12682,07:45:00,23:45:00,12681,MAS,CHENNAI CENTRAL,0,8,SF,497
,,,,,,,,,,,,,,,,,,,,
ERS,ERNAKULAM - BANGALORE SF Exp,SR,0,1,0,0,1,1,,ERNAKULAM JN,12683,04:20:00,17:00:00,12684,SBC,BANGALORE CITY JN,20,11,SF,625
,,,,,,,,,,,,,,,,,,,,
MAS,Chennai-Trivandrum SuperFast Express,SR,0,1,0,1,1,1,,CHENNAI CENTRAL,12695,07:40:00,15:25:00,12696,TVC,TRIVANDRUM CENTRAL,15,16,SF,922
,,,,,,,,,,,,,,,,,,,,
TVC,Trivandrum-Chennai Superfast Express,SR,0,1,0,1,1,1,,TRIVANDRUM CENTRAL,12696,09:50:00,17:10:00,12695,MAS,CHENNAI CENTRAL,40,16,SF,922
,,,,,,,,,,,,,,,,,,,,
MAS,Chennai-Thiruvananthapuram Express,SR,0,1,0,0,1,1,,CHENNAI CENTRAL,12697,06:35:00,15:15:00,12696,TVC,TRIVANDRUM CENTRAL,20,15,SF,909
,,,,,,,,,,,,,,,,,,,,
TVC,Thiruvananthapuram Central Chennai Central weekly express,SR,0,1,0,0,1,1,,TRIVANDRUM CENTRAL,12698,12:25:00,20:10:00,12697,MAS,CHENNAI CENTRAL,15,16,SF,909
,,,,,,,,,,,,,,,,,,,,
CSTM,Hussain Sagar Express,SCR,0,1,1,0,1,1,,MUMBAI CST,12701,12:10:00,21:50:00,12702,HYB,HYDERABAD DECCAN,20,14,SF,790
,,,,,,,,,,,,,,,,,,,,
HYB,Hussain Sagar Express,SCR,0,1,0,0,1,1,,HYDERABAD DECCAN,12702,05:05:00,14:45:00,12701,CSTM,MUMBAI CST,20,14,SF,790
,,,,,,,,,,,,,,,,,,,,
